objectid_1,objectid,acreage,sqft,final_cat,type,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,globalid_2,shape_area,shape_length
15,94,0.59325563,25842.11185087,Neighborhood Park,NP,3,Jefferson Playground,Jefferson Park,Jefferson Park,Northern,679.93778871,fbfc5a30-c277-428b-b9a3-d8fd5eb06a64,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northern,0.59325562946793,d88a8314-e07e-47b5-ab19-e7eaf8902b26,4151.84375,272.710547317956
16,206,6.41794151,279564.41396644,Neighborhood Park,NP,1,Spring Hill Playground,Spring Hill Park,Spring Hill Park,Northern,2401.52521801,1be984a8-ff8e-4e15-baaf-ba53e2fac8c3,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northern,6.4179415111903,b6a65871-46ca-470b-b448-5d697881c989,44930.03515625,962.288433488359
17,39,0.08777855,3823.61818197,Beautification Site,BTF,14,Craft Triangle,Craft Triangle,Craft Triangle,Schenley,249.4495686,ed06cbc2-d61c-453c-a61f-0b2f2aea4fac,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,3rd Division,8.77785462922157E-02,82d8dafd-ada4-47cc-a69a-368d96822fb4,613.890625,99.9276835879911
18,16,0.27823484,12119.86120851,Beautification Site,BTF,14,Bates St Triangle,Bates St Triangle,Bates St Triangle,Schenley,431.50681888,88d2aac9-ab97-4fe4-95de-093659d7a5fd,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,3rd Division,0.278234841324518,1e376995-901e-4b0c-929b-7085ca34bc81,1945.78125,172.882153721955
19,104,6.02794437,262576.20632833,Neighborhood Park,NP,13,Leslie Park,Leslie Park,Leslie Park,Northeast,2066.00460031,8728e9ee-a6c5-49fa-80f8-b369a26aae02,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northeast,6.02794436722474,30fd6542-99c7-4be1-9a61-2ad85406f103,42203.01953125,828.42073406899
20,93,0.03451084,1503.28634521,Beautification Site,BTF,16,Jail Triangle,Jail Triangle,Jail Triangle,State,169.0067854,2193e97c-d602-446e-94a5-d37370e864ec,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,6th Division,3.45108438562134E-02,c365ee0f-e0e4-43f8-ba0f-1af2d1859040,241.375,67.6634128681743
21,177,1.18120924,51453.26866362,Neighborhood Park,NP,10,Swisshelm Parklet,Swisshelm Park,Swisshelm Park,Eastern,909.71795803,a345eae0-81c6-4e68-88ef-e73c5717311f,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Eastern,1.18120923960782,84bb1839-6d3f-4240-9b4d-de013a378be3,8257.27734375,364.462447565535
22,204,0.64868509,28256.60933125,Neighborhood Park,NP,4,Townsend Parklet,Townsend Park,Townsend Park,Western,669.53504644,446d0fe8-1532-4253-8258-fcb5c0677421,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Western,0.648685086272452,b681aa9c-e198-462e-992e-826d1c1958d1,4537.61328125,268.291037707778
23,95,5.41337556,235805.69596935,Neighborhood Park,NP,12,Joe Natoli Playground,Joe Natoli Park,Joe Natoli Park,Northeast,2027.25345377,bc75545d-28e9-4c68-b1fd-40fa6c3b3bbf,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Northeast,5.41337555544003,f47a9e6e-4c72-4b59-b636-fdb23edec304,37912.62109375,812.79938199073
24,62,3.55487677,154849.81274123,Neighborhood Park,NP,4,Fairywood Playground,Fairywood Park,Fairywood Park,Western,1580.61786622,b14e6db3-cd9c-4ce2-9b58-aa2632b7a75f,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,pgh.dcp.allisot,2022-03-10T13:38:47.207000+00:00,Parks - Western,3.5548767709444,2bd804eb-5732-4834-b1ad-57b0768bb4b2,24870.94140625,633.400422720458
